1000,xujeff/tianti,java轻量级的CMS解决方案-天梯。天梯是一个用java相关技术搭建的后台CMS解决方案，用户可以结合自身业务进行相应扩展，同时提供了针对dao、service等的代码生成工具。技术选型：SpringDataJPA、Hibern…,https://github.com/xujeff/tianti
14,covito/covito-cms,根据jeecms优化,https://github.com/covito/covito-cms
14,covito/covito-cms,根据jeecms优化,https://github.com/covito/covito-cms
5,chaojunma/cms,JFinal,https://github.com/chaojunma/cms
12,FenixEdu/fenixedu-cms,ContentManagementSystemfortheFenixEduApplicationFamily,https://github.com/FenixEdu/fenixedu-cms
11,huihoo/ofbiz-cms,Automaticallyexportedfromcode.google.com/p/ofbiz-cms,https://github.com/huihoo/ofbiz-cms
11,freshdocs/cmsandroid,FreshDocsAndroidCMSclient,https://github.com/freshdocs/cmsandroid
562,dotCMS/core,SourceCodefordotCMSJavaEnterpriseContentManagementSystem,https://github.com/dotCMS/core
7,xm-king/jeecms,CMS,https://github.com/xm-king/jeecms
798,201206030/fiction_house,小说精品屋是一个多平台（web、安卓app、微信小程序）、功能完善的屏幕自适应小说弹幕网站，包含精品小说专区、轻小说专区和漫画专区。包括小说/漫画分类、小说/漫画搜索、小说/漫画排行、完本小说/漫画、小说/漫画评分、小说/漫画在线阅读…,https://github.com/201206030/fiction_house
46,creactiviti/giraphe,HeadlessJavaCMSFramework,https://github.com/creactiviti/giraphe
41,josedab/angularjs-springboot-bookstore,BookstoreCMSdonewithAngularjsandSpringBoot,https://github.com/josedab/angularjs-springboot-bookstore
,newtonguo/PublicCMS-preview,经过长达4个月的开发，PublicCMS2016版即将发布，由于改动比较大，因此先放出预览版供熟悉的人员测试，希望各位能找出一些BUG、提出一些建议并参与修改，逐步参与到PublicCMS升级开发中来,https://github.com/newtonguo/PublicCMS-preview
14,summerDp/dpCms,springboot+angluarjs样例,https://github.com/summerDp/dpCms
18,albertcbraun/CMS50FW,AlibraryforconvenientlyconnectingoverBluetoothtoaContecMedicalSystemsPulseOximeter(modelCMS50FW)andr…,https://github.com/albertcbraun/CMS50FW
12,SmartITEngineering/smart-cms,Asimplecontentrepository.Theideaistofirstdevelopsystemsonitandthusevolveit.,https://github.com/SmartITEngineering/smart-cms
6,sjzmlb/cms,类似与内容管理的简历管理系统,https://github.com/sjzmlb/cms
58,creactiviti/graffiti,HeadlessJavaCMS,https://github.com/creactiviti/graffiti
23,jease/jease,JeaseisaJavaCMSframeworkbasedonObjectDatabase,https://github.com/jease/jease
21,TaleLin/lin-cms-java-core,AsimpleandpracticalCMSimplememtedbyspring-boot,https://github.com/TaleLin/lin-cms-java-core
26,JYunCMS/jyun-cms-platform,JYunCMS后端服务,https://github.com/JYunCMS/jyun-cms-platform
13,jmirc/Hippo-CMS-Konakart,BridgebetweenHippoCMSandKonakart,https://github.com/jmirc/Hippo-CMS-Konakart
9,NHS-digital-website/hippo,HippoCMS,https://github.com/NHS-digital-website/hippo
1,welcor/cms-ce,EnonicCMSCommunityEdition,https://github.com/welcor/cms-ce
584,Mr5m1th/POC-Collect,各种开源CMS各种版本的漏洞以及EXP该项目将不断更新,https://github.com/Mr5m1th/POC-Collect
80,cedricziel/idea-php-typo3-plugin,TYPO3CMSPluginsforIntelliJIDEA/PhpStorm,https://github.com/cedricziel/idea-php-typo3-plugin
5,jasonfilippou/CMSC420-Fall2019,"CodebasefordemosandprojectsofCMSC420,DataStructures,Section0101,Fall2019,CSUMD.",https://github.com/jasonfilippou/CMSC420-Fall2019
9,howe/cms,Nutz版CMS,https://github.com/howe/cms
6,charmyin/CMStudio,"It'sabaseprojectcomposedofSpringMVC,JeasyUI,Shiroandsoon~",https://github.com/charmyin/CMStudio
8,jackieonway/springboot-cms,"ContentmanagementsystembasedonSpringboot,Spring,SpringMVC,Mybatis,FreeMarker,Bootstrap,ApacheShiro,Quartz,…",https://github.com/jackieonway/springboot-cms
18,PedroGao/lin-cms-java,AsimpleandpracticalCMSimplememtedbyspringboot,https://github.com/PedroGao/lin-cms-java
13,kudan-eu/CMS-Demo-Android,,https://github.com/kudan-eu/CMS-Demo-Android
